Neuron_ID,X,Y,Z,Cluster_Number
732.0,1695.3100200000001,1841.030342039268,20.37993277310914,3
733.0,3150.60303,1847.1063497687705,20.44719327731082,1
734.0,999.56451,1847.1063497687705,20.44719327731082,6
735.0,3244.78692,1844.0683459040192,20.41356302520998,1
736.0,1506.94224,1865.334372957278,20.64897478991586,2
737.0,1832.0285700000002,1844.0683459040192,20.41356302520998,2
738.0,619.7907600000001,1859.2583652277754,20.58171428571418,11
739.0,1753.03563,1850.1443536335216,20.480823529411662,3
740.0,884.11329,1850.1443536335216,20.480823529411662,6
741.0,2248.2606,1853.182357498273,20.5144537815125,3
742.0,3050.34276,1856.2203613630243,20.548084033613343,1
745.0,1221.35238,1862.2963690925267,20.61534453781502,9
746.0,1355.03274,1862.2963690925267,20.61534453781502,2
747.0,1075.51926,1862.2963690925267,20.61534453781502,6
748.0,3357.19995,1868.3723768220293,20.6826050420167,1
750.0,1421.87292,1886.600400010537,20.884386554621745,2
753.0,1042.09917,1877.4863884162833,20.783495798319223,6
754.0,1904.94513,1877.4863884162833,20.783495798319223,3
755.0,835.50225,1880.5243922810344,20.81712605042006,6
756.0,1242.6197100000002,1895.7144116047907,20.985277310924264,3
758.0,3083.76285,1898.752415469542,21.018907563025103,1
759.0,1361.10912,1901.7904193342931,21.052537815125945,6
760.0,1731.7683000000002,1898.752415469542,21.018907563025103,2
762.0,3044.26638,1904.8284231990444,21.086168067226783,8
763.0,3147.56484,1913.9424347932982,21.187058823529306,1
764.0,1658.85174,1904.8284231990444,21.086168067226783,3
765.0,1011.7172700000001,1910.904430928547,21.153428571428464,6
